Site Identifier,Latitude,Longitude,Demand_Index,city,suburb,address,Site_Loadshedding_Risk,Distance_to_Metro_KM,Closest_Metro,Metro_Proximity_Score,Base_Risk_Category,Adjusted_Risk_Category,Total_Weighted_Score,Final_Classification,Factor_Scores
421,-28.75,30.45,30,Msinga Local Municipality,Msinga Ward 14,"unnamed road, Msinga Ward 14, Msinga Local Municipality, 3010, South Africa",58,135.1752572482913,Durban,0.7343477957795801,Amber,Amber,4.411852457237764,Risky,"{""loadshedding"": 4.2, ""interop"": 1.1481557154720425, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
79028,-23.31,30.69,30,Greater Giyani Local Municipality,Greater Giyani Ward 11,"Main, Greater Giyani Ward 11, Greater Giyani Local Municipality, 0826, South Africa",67,368.01053506694177,Pretoria,0.2709949730347377,Red,Red,3.0450017531697373,Risky,"{""loadshedding"": 3.3, ""interop"": 0.5000219146217229, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1755,-23.01,28.57,30,Tolwe,Blouberg Local Municipality,"unnamed road, Blouberg Local Municipality, Tolwe, South Africa",60,306.3892669447668,Pretoria,0.32532040234823323,Red,Red,3.226983577055127,Risky,"{""loadshedding"": 4.0, ""interop"": 0.5872947131890887, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
273,-28.44,30.42,30,Msinga Nu,N/A,"Msinga Nu, South Africa",58,168.22878035834538,Durban,0.5909160356072293,Amber,Amber,4.397452919421046,Risky,"{""loadshedding"": 4.2, ""interop"": 0.9681614927630786, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
295,-30.79,30.13,30,Ezinqoleni Local Municipality,Ezinqoleni Ward 6,"unnamed road, Ezinqoleni Ward 6, Ezinqoleni Local Municipality, South Africa",53,134.3508503539586,Durban,0.7388206260875945,Amber,Amber,4.537282108996485,Risky,"{""loadshedding"": 4.7, ""interop"": 1.1535263624560639, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
541,-30.71,27.22,30,Lady Grey,N/A,"Cloete Street, Lady Grey, South Africa",59,204.9424480819475,Bloemfontein,0.4855725516101884,Red,Red,3.27102461067864,Risky,"{""loadshedding"": 4.1, ""interop"": 0.8253076334829985, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
173,-32.91,28.02,30,N/A,Buffalo City Ward 27,"unnamed road, Buffalo City Ward 27, Eastern Cape, 5257, South Africa",54,251.94574401974083,Port Elizabeth,0.39534169822677717,Amber,Amber,4.475571956627758,Risky,"{""loadshedding"": 4.6, ""interop"": 0.6946494578469706, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1891,-28.13,26.91,30,Meloding,N/A,"Street, Meloding, South Africa",56,125.96408744222643,Bloemfontein,0.7876242960869062,Amber,Amber,4.466899566220502,Risky,"{""loadshedding"": 4.4, ""interop"": 1.2112445777562753, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1843,-33.35,18.87,30,Riebeek West,N/A,"Riebeek West, South Africa",68,76.09543518025683,Cape Town,1.2970936575711651,Red,Red,3.1187291106790678,Risky,"{""loadshedding"": 3.2, ""interop"": 1.7341138834883527, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
547,-29.16,25.99,30,Mangaung Nu,N/A,"Mangaung Nu, South Africa",63,23.50315633025019,Bloemfontein,4.081106884852453,Red,Red,3.3761593199277016,Risky,"{""loadshedding"": 3.7, ""interop"": 3.389491499096271, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
