Site Identifier,Site Type,LAT Trimmed,LON Trimmed
904,Openserve Property,-26.12,28.08
1687,Openserve Property,-25.01,30.01
1769,Openserve Property,-26.67,27.93
895,Openserve Property,-26.1,28.05
2003,Openserve Property,-26.18,27.96
939,Openserve Property,-26.21,28.16
634,Openserve Property,-27.98,26.73
16761,Openserve Property,-29.01,26.02
1816,Openserve Property,-28.74,31.89
1015,Openserve Property,-26.1,28.01
1731,Openserve Property,-26.67,28.72
1494,Openserve Property,-25.73,28.3
78,Openserve Property,-33.01,27.9
1733,Openserve Property,-23.01,29.01
879,Openserve Property,-34,18.47
896,Openserve Property,-26.19,28.32
1886,Openserve Property,-33.92,25.59
1478,Openserve Property,-25.67,27.24
963,Openserve Property,-26.19,28.11
1431,Openserve Property,-25.77,29.46
380,Openserve Property,-29.61,30.38
384,Openserve Property,-29.8,30.87
2100,Openserve Property,-26.1,28.23
2033,Openserve Property,-26.26,28.44
822,Openserve Property,-33.96,18.47
985,Openserve Property,-26.2,28.01
1360,Openserve Property,-25.01,28
835,Openserve Property,-34.08,18.85
124,Openserve Property,-33.95,25.51
1429,Openserve Property,-24.99,30.76
1764,Openserve Property,-26.77,27.85
1572,Openserve Property,-25.8,28.3
2048,Openserve Property,-26.27,28.12
379,Openserve Property,-29.7,31
22,Openserve Property,-28.74,24.77
372,Openserve Property,-29.84,31
829,Openserve Property,-33.91,18.39
926,Openserve Property,-26.16,28.15
1466,Openserve Property,-25.75,28.13
236,Openserve Property,-29.78,31.04
2012,Openserve Property,-26.26,27.93
1527,Openserve Property,-25.87,29.22
1032,Openserve Property,-26.2,27.96
770,Openserve Property,-33.92,18.48
154,Openserve Property,-33.96,25.62
1016,Openserve Property,-26.18,27.71
5982,Openserve Property,-31.59,28.79
5839,Openserve Property,-32.85,27.44
933,Openserve Property,-25.95,28.12
2060,Openserve Property,-26.22,28.25
112,Openserve Property,-32.88,27.39
1831,Openserve Property,-29.98,30.93
395,Openserve Property,-29.9,30.98
910,Openserve Property,-25.98,28.08
484,Openserve Property,-29,26.01
354,Openserve Property,-27.76,29.93
1599,Openserve Property,-25.84,28.16
1679,Openserve Property,-26.56,28.01
798,Openserve Property,-33.73,18.96
968,Openserve Property,-26.1,27.77
1761,Openserve Property,-26.88,28.23
961,Openserve Property,-26.07,28.09
975,Openserve Property,-26.32,27.84
801,Openserve Property,-33.91,18.59
952,Openserve Property,-26.13,28.2
925,Openserve Property,-26.13,28.16
2647,Openserve Property,-23.91,29.45
979,Openserve Property,-26.14,28
149,Openserve Property,-33.95,25.59
906,Openserve Property,-26,28.01
1037,Openserve Property,-26.01,28.22
882,Openserve Property,-26.13,27.96
15803,Openserve Property,-25.69,30.04
84,Openserve Property,-33.96,22.46
338,Openserve Property,-29.72,31.04
1026,Openserve Property,-26.17,28.33
909,Openserve Property,-26.23,28.09
1765,Openserve Property,-26.79,27.84
2246,Openserve Property,-33.64,19.45
2130,Openserve Property,-34.23,19.43
1624,Openserve Property,-26.72,27.05
181,Openserve Property,-33.77,25.4
1735,Openserve Property,-25.68,28.22
143,Openserve Property,-33.86,25.61
