Site Identifier,Site Type,LAT Trimmed,LON Trimmed,Formatted_Address,City,Suburb,Postcode
386,Openserve Property,-28.55,30.42,"unnamed road, Msinga Ward 17, Msinga Local Municipality, South Africa",Msinga Local Municipality,Msinga Ward 17,N/A
507,Openserve Property,-30.56,26.4,"Goedemoed, South Africa",Goedemoed,N/A,
1604,Openserve Property,-26.55,29.08,"Embalenhle, South Africa",Embalenhle,N/A,
27895,Openserve Property,-31.17,28.7,"Mhlontlo Ward 24, Mhlontlo Local Municipality, O.R. Tambo District Municipality, South Africa",Mhlontlo Local Municipality,Mhlontlo Ward 24,N/A
744,Openserve Property,-30.21,17.93,"unnamed road, Kamiesberg Ward 3, Kamiesberg Local Municipality, South Africa",Kamiesberg Local Municipality,Kamiesberg Ward 3,N/A
37562,Openserve Property,-26.5,28.01,"Street, Walkerville, South Africa",Walkerville,N/A,
16532,Openserve Property,-32.86,27.14,"Null, Debe Valley A, South Africa",Debe Valley A,N/A,
726,Openserve Property,-32.15,18.61,"Stasie Road, Graafwater, South Africa",Graafwater,N/A,
28168,Openserve Property,-31.69,29.37,"Null, Kwilini, South Africa",Kwilini,N/A,
43958,Openserve Property,-25.32,29.99,"Elias Motsoaledi Nu, South Africa",Elias Motsoaledi Nu,N/A,
28796,Openserve Property,-31.9,29.18,"unnamed road, Nyandeni Ward 26, Nyandeni Local Municipality, South Africa",Nyandeni Local Municipality,Nyandeni Ward 26,N/A
9736,Openserve Property,-26.21,27.65,"19827 6th Road, Randfontein, South Africa",Randfontein,N/A,
478,Openserve Property,-23.99,30.32,"Gabaza, South Africa",Gabaza,N/A,
1499,Openserve Property,-25,31.59,"H11, Mbombela Ward 39, Mbombela, South Africa",Mbombela,Mbombela Ward 39,N/A
12890,Openserve Property,-32.19,27.94,"unnamed road, Ngqamakhwe, Mnquma Local Municipality, South Africa",Mnquma Local Municipality,Ngqamakhwe,N/A
1011,Openserve Property,-26.09,28.28,"unnamed road, Pomona, Gauteng, 1623, South Africa",N/A,Pomona,1623
13365,Openserve Property,-30.8,29.35,"Null Street, Umzimvubu Nu, South Africa",Umzimvubu Nu,N/A,
1518,Openserve Property,-25.98,28.98,"New Largo, South Africa",New Largo,N/A,
2183,Openserve Property,-34.61,19.38,"Dyer Street, Overstrand Ward 1, Overstrand Local Municipality, South Africa",Overstrand Local Municipality,Overstrand Ward 1,N/A
1008,Openserve Property,-26.16,28.03,"Lower Park Drive, Parkview, Rosebank, 2001, South Africa",Rosebank,Parkview,2001
7489,Openserve Property,-26.32,28.2,"335 Lithemba Street, Germiston, South Africa",Germiston,N/A,
1184,Openserve Property,-30.35,21.82,"893 0 Street, Van Wyksvlei, South Africa",Van Wyksvlei,N/A,
807,Openserve Property,-29.25,16.87,"384 2nd Street, Port Nolloth, South Africa",Port Nolloth,N/A,
20400,Openserve Property,-26.97,23.98,"Cassel, South Africa",Cassel,N/A,
5098,Openserve Property,-30.44,24.47,"Street, Phillipstown, South Africa",Phillipstown,N/A,
1081,Openserve Property,-26,25.01,"Ratlou Ward 4, Ratlou Local Municipality, Ngaka Modiri Molema District Municipality, South Africa",Ratlou Local Municipality,Ratlou Ward 4,N/A
18,Openserve Property,-27.2,22.97,"unnamed road, Joe Morolong Ward 4, Joe Morolong Local Municipality, South Africa",Joe Morolong Local Municipality,Joe Morolong Ward 4,N/A
102,Openserve Property,-34.03,24.78,"46 Nico Malan Street, Humansdorp, South Africa",Humansdorp,N/A,
17113,Openserve Property,-32.69,24,"unnamed road, Camdeboo Ward 7, Camdeboo Local Municipality, South Africa",Camdeboo Local Municipality,Camdeboo Ward 7,N/A
342,Openserve Property,-28,31,"Ulundi Nu, South Africa",Ulundi Nu,N/A,
5810,Openserve Property,-25.01,28,"unnamed road, Mnukubyane, Moretele Local Municipality, South Africa",Moretele Local Municipality,Mnukubyane,N/A
2292,Openserve Property,-34.35,21.88,"21 River Street, Gouritsmond, South Africa",Gouritsmond,N/A,
17822,Openserve Property,-26.5,27.88,"unnamed road, Johannesburg Ward 2, Gauteng, 1841, South Africa",N/A,Johannesburg Ward 2,1841
803,Openserve Property,-33.67,18.58,"18 Gerf Street, Philadelphia, South Africa",Philadelphia,N/A,
15789,Openserve Property,-34.01,18.64,"24 Pholani Street, Khayelitsha, South Africa",Khayelitsha,N/A,
197,Openserve Property,-28.01,29,"unnamed road, Phumelela Ward 5, Phumelela Local Municipality, South Africa",Phumelela Local Municipality,Phumelela Ward 5,N/A
23747,Openserve Property,-23.1,30.39,"unnamed road, Makhado Ward 4, Makhado Local Municipality, South Africa",Makhado Local Municipality,Makhado Ward 4,N/A
20405,Openserve Property,-27.44,23.57,"Havard, South Africa",Havard,N/A,
553,Openserve Property,-28.66,27.43,"Setsoto Nu, South Africa",Setsoto Nu,N/A,
17295,Openserve Property,-28.52,24.7,"unnamed road, Sol Plaatje Ward 28, Sol Plaatje Local Municipality, South Africa",Sol Plaatje Local Municipality,Sol Plaatje Ward 28,N/A
2885,Openserve Property,-23.05,29.28,"Blouberg Munic Nu, South Africa",Blouberg Munic Nu,N/A,
2337,Openserve Property,-29.67,31.03,"Tottenham Road, Palmview, KwaZulu-Natal, 4339, South Africa",N/A,Palmview,4339
1688,Openserve Property,-25.57,30.67,"119 Windsor Street, Ngodwana, South Africa",Ngodwana,N/A,
28303,Openserve Property,-31.64,29.45,"Null, Port St Johns Nu, South Africa",Port St Johns Nu,N/A,
28165,Openserve Property,-31.6,29.29,"unnamed road, Port St Johns Ward 7, Port St Johns Local Municipality, South Africa",Port St Johns Local Municipality,Port St Johns Ward 7,N/A
315,Openserve Property,-28.94,29.59,"Mfolozi, South Africa",Mfolozi,N/A,
1296,Openserve Property,-33.66,23.13,"unnamed road, George Ward 25, George, 6460, South Africa",George,George Ward 25,6460
5761,Openserve Property,-26.47,24.71,"Street, Naledi Nu, South Africa",Naledi Nu,N/A,
144,Openserve Property,-31.18,24.96,"6 Conradie Street, Noupoort, South Africa",Noupoort,N/A,
16398,Openserve Property,-31.79,28.29,"Null Street, Clarkebury, South Africa",Clarkebury,N/A,
21146,Openserve Property,-32.31,28.19,"Upper Mchubakazi, South Africa",Upper Mchubakazi,N/A,
1099,Openserve Property,-28.56,21.76,"Null Street, !Kheis Nu, South Africa",!Kheis Nu,N/A,
24035,Openserve Property,-32.92,26.99,"unnamed road, eMatsamraleni, Nkonkobe Local Municipality, South Africa",Nkonkobe Local Municipality,eMatsamraleni,N/A
3450,Openserve Property,-32.73,28.02,"Great Kei Nu, South Africa",Great Kei Nu,N/A,
1225,Openserve Property,-31.33,27.85,"Dirkie Street, Elliot, South Africa",Elliot,N/A,
20453,Openserve Property,-32.5,27.4,"Amahlathi Ward 17, Amahlathi Local Municipality, Amathole District Municipality, South Africa",Amahlathi Local Municipality,Amahlathi Ward 17,N/A
25516,Openserve Property,-26.88,30.03,"unnamed road, Pixley ka Seme Ward 8, Pixley Ka Seme Local Municipality, South Africa",Pixley Ka Seme Local Municipality,Pixley ka Seme Ward 8,N/A
16781,Openserve Property,-33.94,22.47,"6th Avenue, Boerpark, George, 6530, South Africa",George,Boerpark,6530
3326,Openserve Property,-28.24,24.03,"Street, Dikgatlong Nu, South Africa",Dikgatlong Nu,N/A,
16048,Openserve Property,-26.42,27.86,"2231FT Central Street, Ennerdale, South Africa",Ennerdale,N/A,
2486,Openserve Property,-23.97,30.27,"1275 Unknown Street, Lenyenye, South Africa",Lenyenye,N/A,
1366,Openserve Property,-26.02,26,"Ditsobotla Ward 10, Ditsobotla Local Municipality, Ngaka Modiri Molema District Municipality, South Africa",Ditsobotla Local Municipality,Ditsobotla Ward 10,N/A
15841,Openserve Property,-24.34,29.29,"Mogoto, South Africa",Mogoto,N/A,
435,Openserve Property,-28.31,30.1,"Wasbank, South Africa",Wasbank,N/A,
32678,Openserve Property,-28.65,20.45,"Street, Kai !Garib Nu, South Africa",Kai !Garib Nu,N/A,
28169,Openserve Property,-31.5,29.31,"Null, Mhlotsheni, South Africa",Mhlotsheni,N/A,
1739,Openserve Property,-25.65,27.7,"Sonop, South Africa",Sonop,N/A,
16391,Openserve Property,-32.23,26.74,"unnamed road, eZweledinga, Lukhanji Local Municipality, South Africa",Lukhanji Local Municipality,eZweledinga,N/A
1219,Openserve Property,-31.37,27.05,"Marias Street, Dordrecht, South Africa",Dordrecht,N/A,
7089,Openserve Property,-33.69,23.25,"George Nu, South Africa",George Nu,N/A,
27892,Openserve Property,-31.24,28.65,"Street, Mhlontlo Nu, South Africa",Mhlontlo Nu,N/A,
1353,Openserve Property,-23.18,29.7,"Makhado Nu, South Africa",Makhado Nu,N/A,
20452,Openserve Property,-32.39,28.38,"unnamed road, Mnquma Ward 24, Mnquma Local Municipality, South Africa",Mnquma Local Municipality,Mnquma Ward 24,N/A
296,Openserve Property,-28.58,29.12,"Okhahlamba Ward 10, Okhahlamba Local Municipality, 3350, South Africa",Okhahlamba Local Municipality,Okhahlamba Ward 10,3350
343,Openserve Property,-30.5,30.63,"Cove Way, uMdoni Ward 7, uMdoni Local Municipality, 4186, South Africa",uMdoni Local Municipality,uMdoni Ward 7,4186
24043,Openserve Property,-32.79,27.32,"unnamed road, Buffalo City Ward 38, Eastern Cape, South Africa",N/A,Buffalo City Ward 38,N/A
1057,Openserve Property,-28.67,20.43,"18 0 Street, Augrabies, South Africa",Augrabies,N/A,
18145,Openserve Property,-28.61,28.83,"unnamed road, Thabang, Maluti-a-Phofung Local Municipality, South Africa",Maluti-a-Phofung Local Municipality,Thabang,N/A
7,Openserve Property,-30,24,"Thembelihle Ward 1, Thembelihle Local Municipality, 8765, South Africa",Thembelihle Local Municipality,Thembelihle Ward 1,8765
14308,Openserve Property,-30.58,22.88,"unnamed road, Kareeberg Ward 3, Kareeberg Local Municipality, South Africa",Kareeberg Local Municipality,Kareeberg Ward 3,N/A
17639,Openserve Property,-32.97,27.31,"Kwajubisa, South Africa",Kwajubisa,N/A,
150,Openserve Property,-33.76,24.81,"Railway Street, Patensie, South Africa",Patensie,N/A,
481,Openserve Property,-28.92,27.57,"1st Avenue, Setsoto Ward 9, Setsoto Local Municipality, 9735, South Africa",Setsoto Local Municipality,Setsoto Ward 9,9735
1234,Openserve Property,-31.65,25.8,"DR02611, Tsolwana Ward 5, Tsolwana Local Municipality, South Africa",Tsolwana Local Municipality,Tsolwana Ward 5,N/A
191,Openserve Property,-28.38,31.08,"Unknown Street, Babanango, South Africa",Babanango,N/A,
26564,Openserve Property,-26.66,29.26,"unnamed road, Lekwa Ward 12, Lekwa Local Municipality, South Africa",Lekwa Local Municipality,Lekwa Ward 12,N/A
1656,Openserve Property,-25.49,27.84,"3952 2nd Street, Letlhabile, South Africa",Letlhabile,N/A,
3339,Openserve Property,-27,32.75,"unnamed road, uMhlabuyalingana Local Municipality, 3973, South Africa",uMhlabuyalingana Local Municipality,N/A,3973
7892,Openserve Property,-31.52,27.7,"Mtentu Street, Cala, South Africa",Cala,N/A,
6126,Openserve Property,-30.03,25.78,"Abel Street, Madikgetla, Kopanong Local Municipality, 9913, South Africa",Kopanong Local Municipality,Madikgetla,9913
1635,Openserve Property,-26.84,26.86,"Street, Stilfontein, South Africa",Stilfontein,N/A,
270,Openserve Property,-29.8,30.66,"Kelly Road, Hammarsdale, Mpumalanga, 3700, South Africa",Mpumalanga,Hammarsdale,3700
696,Openserve Property,-32.59,19.01,"Oewr Street, Citrusdal, South Africa",Citrusdal,N/A,
16394,Openserve Property,-31.89,27.05,"Null, Mamfeneni, South Africa",Mamfeneni,N/A,
984,Openserve Property,-26.09,28.09,"1 15th Street, Sandton, South Africa",Sandton,N/A,
1367,Openserve Property,-24.02,30.01,"Lepelle-Nkumpi Ward 28, Lepelle-Nkumpi Local Municipality, Capricorn District Municipality, South Africa",Lepelle-Nkumpi Local Municipality,Lepelle-Nkumpi Ward 28,N/A
287,Openserve Property,-27.13,32,"Magugu, South Africa",Magugu,N/A,
24700,Openserve Property,-31.45,28.48,"Mhlontlo Ward 2, Mhlontlo Local Municipality, O.R. Tambo District Municipality, South Africa",Mhlontlo Local Municipality,Mhlontlo Ward 2,N/A
17502,Openserve Property,-25.79,28.64,"Leeu Fontein, Tshwane Ward 102, Gauteng, South Africa",N/A,Tshwane Ward 102,N/A
136,Openserve Property,-33.8,25.61,"Ngqika Street, Nelson Mandela Bay Ward 23, Motherwell, 6211, South Africa",Motherwell,Nelson Mandela Bay Ward 23,6211
36,Openserve Property,-27.12,22.84,"Main Road, Joe Morolong Ward 4, Joe Morolong Local Municipality, 8491, South Africa",Joe Morolong Local Municipality,Joe Morolong Ward 4,8491
23409,Openserve Property,-33.95,24.3,"Kareedouw, South Africa",Kareedouw,N/A,
31214,Openserve Property,-26.75,27.54,"Lindequesdrif, South Africa",Lindequesdrif,N/A,
27846,Openserve Property,-32.75,27.43,"unnamed road, Amahlathi Ward 19, Amahlathi Local Municipality, South Africa",Amahlathi Local Municipality,Amahlathi Ward 19,N/A
442,Openserve Property,-28.81,29.54,"10 Hillview Street, Winterton, South Africa",Winterton,N/A,
399,Openserve Property,-29.5,31.24,"12 Hewitt Road, Salt Rock, South Africa",Salt Rock,N/A,
17752,Openserve Property,-25.36,28.82,"unnamed road, Phumula, Thembisile Hani Local Municipality, South Africa",Thembisile Hani Local Municipality,Phumula,N/A
24372,Openserve Property,-32.4,24.19,"N9;R61, Camdeboo Ward 1, Camdeboo Local Municipality, South Africa",Camdeboo Local Municipality,Camdeboo Ward 1,N/A
849,Openserve Property,-32.4,20.66,"Republiek Street, Karoo Hoogland Ward 4, Karoo Hoogland Local Municipality, 6920, South Africa",Karoo Hoogland Local Municipality,Karoo Hoogland Ward 4,6920
13881,Openserve Property,-25.95,28.14,"91 Street, Midrand, South Africa",Midrand,N/A,
2118,Openserve Property,-26.74,29.62,"Street, Morgenzon, South Africa",Morgenzon,N/A,
9260,Openserve Property,-28.76,16.67,"Null Street, Richtersveld Nu, South Africa",Richtersveld Nu,N/A,
23312,Openserve Property,-34.01,22.49,"2994 Tabata Street, Thembalethu, South Africa",Thembalethu,N/A,
